"en_es_DEEP"	"MatConf"
"Servicio en español del canal ruso Segodnya -- 19 de noviembre de 2011"	0
"Cuando son detenidos o repatriados por la fuerza, los funcionarios de la República Popular Democrática de Corea los someten sistemáticamente a persecución, tortura, detención arbitraria prolongada y, en algunos casos, violencia sexual, incluso durante registros corporales invasivos."	1
"Sistemas de apoyo a la violencia de género establecidos."	0
"Se destruyeron bombas de agua y pozos, se destrozaron instrumentos para procesar alimentos, se quemaron y talaron árboles y cultivos, tanto en las aldeas como en los wadis, que son una importante fuente de agua para la población rural."	1
"78. La mayoría de los Estados de la subregión han sido objeto de ataques terroristas, ya sea perpetrados en su territorio o contra sus nacionales en otras partes del mundo."	1
"a) Garantizar la protección efectiva de los civiles, incluido el personal humanitario y los defensores de los derechos humanos, bajo amenaza inminente de violencia física, en particular la violencia proveniente de cualquiera de las partes involucradas en el conflicto;"	0
"Ha calificado de caos la situación en la escena del crimen."	1
"Un alto funcionario gubernamental, a nivel provincial, describió cómo el reclutamiento inicial de combatientes por parte del Gobierno también recurrió a forajidos árabes y, como se ha descrito en otros informes, al reclutamiento de delincuentes convictos."	1
"En una declaración de prensa del Presidente, los miembros del Consejo expresaron su profunda preocupación por la grave situación humanitaria, ya que los recientes combates habían provocado un aumento de las violaciones de los derechos humanos y nuevos desplazamientos de población."	1
"4. El Comité fue establecido en virtud de la resolución 1518 (2003) del Consejo de Seguridad, de 24 de noviembre de 2003, para seguir identificando, de conformidad con los párrafos 19 y 23 de la resolución 1483 (2003), personas y entidades cuyos fondos, otros activos financieros y recursos económicos deberían ser congelado y transferido al Fondo de Desarrollo para Irak."	0
"La relación entre el servicio de la deuda y las exportaciones se estima en un 55 por ciento para el año 2000."	0
"La milicia maoísta llevó a cabo una serie de funciones durante el conflicto, incluidas la movilización, la propaganda, el servicio como ejército irregular y la prestación de diferentes formas de \"aplicación de la ley\" en zonas bajo control del PCN-M. Cuando se disolvió la milicia maoísta, muchos miembros supuestamente se unieron a la Liga de Jóvenes Comunistas del PCN-M, una organización restablecida en diciembre de 2006."	1
"Recuerda la prohibición del desplazamiento forzoso de civiles en situaciones de conflicto armado en circunstancias que violen las obligaciones de las partes en virtud del derecho internacional humanitario."	1
"En San Pedro, se informa que el alcalde ha comenzado a destruir otros barrios marginales."	1
"6. El declive de Al-Qaida es en parte resultado de la incesante campaña internacional para restringir su influencia y en parte resultado de su propia creación."	0
":: 12 de julio de 2005, el Ministro de Defensa, Elias Murr, resulta herido y otras dos personas mueren en un atentado con coche bomba en Beirut."	1
"La situación relativa a la República Democrática del Congo."	0
"217. La Comisión, por ejemplo, alentaría la creación de un programa nacional de reparaciones, que no se limitaría simplemente a una indemnización monetaria, sino que debería estudiarse la gama de medidas necesarias, entre ellas el reconocimiento de la infracción, la indemnización por los daños que puedan evaluarse económicamente, la divulgación pública completa de los hechos en cuestión (incluso mediante la difusión del presente informe), el establecimiento de programas de rehabilitación y la imposición de sanciones administrativas a las personas que se encuentren en instituciones que sean responsables."	0
"Sin embargo, es necesario adoptar medidas adicionales para tipificar como delito la fabricación, la posesión y el tráfico ilícitos de armas pequeñas y ligeras, así como de explosivos."	1
"60. Otro aspecto potencialmente preocupante de la disposición sobre exenciones humanitarias es que, como a una persona o entidad privada no se le permite presentar peticiones directamente al Comité, es el Estado de residencia de la parte incluida en la lista el que determina si el Comité recibe alguna vez una petición en virtud de la resolución 1452 (2002)."	0
"El 3 de mayo, por invitación del Presidente del Consejo Económico y Social, el Presidente del Consejo asistió a la reunión de alto nivel del Consejo Económico y Social para evaluar la labor de sus grupos asesores especiales sobre países que salen de un conflicto ( Burundi y Guinea-Bissau)."	0
"Las violaciones incluyen actividades como la mejora de las estructuras físicas en las zonas restringidas definidas por el acuerdo y la imposición de restricciones a los movimientos de los observadores militares de las Naciones Unidas."	1
"64. La cuestión de las armas pequeñas no puede abordarse únicamente con medidas de control de armamentos. Es parte integral de un espectro más amplio, en el que se cruzan los conflictos, la seguridad, la violencia armada, el crimen, el comercio, los derechos humanos, la salud y el desarrollo."	1
"Las pruebas incluyen listas de almacenamiento de fecha 7 de octubre de 1990 y 13 de marzo de 1992 que enumeran la calidad y descripción de los artículos almacenados."	0
"231. Además, al 15 de noviembre de 2004, la Oficina del Alto Comisionado de las Naciones Unidas para los Refugiados (ACNUR) informó de que 203.051 personas de la región de Darfur vivían en 11 campamentos y otros lugares como refugiados en el este del Chad, a lo largo de la frontera con el Sudán."	1
"En la reunión del 21 de mayo se hizo referencia específica a la cuestión de las armas, tal como se describe en el párrafo 93."	0
