"es_en_TRANSOFMERS"	"MatCoop"
"All States had a counter-terrorism policy and the vast majority were aware of the existence of Al-Qaida and the Taliban, although many might not focus their interest on the consolidated list."	1
"Measures to prevent illegal cross-border movement of persons have been implemented in eight States, and nine States effectively monitor and control the import and export of arms and explosives."	1
"Council members agreed that efforts should be made to address the root causes of the conflict and that a coordinated response involving all relevant United Nations bodies was required."	0
"Other expert groups have also been contacted."	0
"Extremist groups also targeted civilian contractors working for MINUSMA. On 12 October, armed elements stopped a contracted truck and destroyed the clearly identified cargo it was carrying, but did not cause damage to the driver. On 6 November, a civilian contractor truck contacted an explosive device 40 km south of Almoustarat (Gao region) and three persons were injured. On 8 November, armed elements forced two civilian trucks contracted by MINUSMA to stop, stole their drivers and threatened to burn their trucks if they continued to work for the Mission."	0
"Consequently, its activity covers only one aspect of what would be a broad post-conflict criminal process."	1
"The fact that States and the Committee were seeking to maintain the inclusion of ideologues on the List despite its limited impact seemed to indicate a broader trend in the fight against terrorism, which was to maintain a balance between efforts to trap and arrest terrorists and efforts to prevent others from becoming terrorists."	1
"(a) A Monitoring Group in New York of up to five experts, including a chair, to monitor the implementation of all measures imposed by resolutions 1267 (1999) and 1333 (2000), including on arms embargoes, counter-terrorism measures and related legislation and, in view of their links with arms purchases and the financing of terrorism, money-laundering, financial transactions and drug trafficking; and"	1
"âThe Security Council notes the publication of the Rabat Memorandum on Good Practices for Effective Counter-Terrorism in the Criminal Justice Sector, the Rome Memorandum on Good Practices for the Rehabilitation and Reintegration of Violent Extremist Offenders and the Algiers Memorandum on Good Practices for Preventing and Eradicating the Benefits of Kidnappings by Terrorists for Rescue."	1
"Recognizing that strengthening national human rights institutions and respect for human rights, due process and combating crime and sexual and gender-based violence, as well as measures to end impunity, are essential to ensuring the rule of law and security in [the affected country],"	1
"Sri Lanka has the means to collect data electronically."	0
"The Declaration, reminding the world that victims of crimes must be treated with compassion and respect, recognizes their right to justice, to be treated in an equitable manner and to be compensated in the form of compensation, compensation or other forms of assistance for the harm they have suffered."	1
"Although none of them reported rape cases to the UNAMID investigation team, the truth is that Sudanese armed forces and military intelligence personnel were present in the village during the investigations."	1
"This situation persists even when the Libyan authorities do not have the possibility of fully controlling the situation in their country or preventing weapons from falling into the hands of terrorist elements."	0
"Confirmation of the membership of the Committee (art. 4.3)"	0
"(a) Spacecraft (single or multiple), including satellites."	0
