"es"	"MatConf"
"La aprobación del Estatuto de la Corte Penal Internacional, seguida del Estatuto del Tribunal Especial para Sierra Leona, puede considerarse la culminación de un proceso legislativo que en cuestión de pocos años desembocó en la cristalización de un conjunto de normas consuetudinarias aplicables a los conflictos armados internos y en la tipificación como delito de las transgresiones graves de dichas normas, en el sentido de que las violaciones graves de dichas normas pueden dar lugar a responsabilidad penal individual."	0
"Se observó un aumento de la tensión entre la población local como resultado de la extorsión y el cobro ilegal de impuestos practicados por las autoridades abjasias de facto."	1
"Además, la subregión sigue afrontando los desafíos relacionados con el cumplimiento de la ley, el estado de derecho y el respeto de los derechos humanos."	1
"En dos de ellos, no fue posible establecer el móvil en tanto que el tercero se consideró un hecho delictivo."	1
"Los miembros de la comisión destacaron esa realidad e indicaron que los Estados que cometían esos crímenes atroces contra su propio pueblo eran una fuente de constante inestabilidad e inseguridad para los países vecinos."	0
"Según se ha indicado supra, distintas fuentes han confirmado que los niños visten uniforme y portan armas."	1
"2. Análisis y valoración 333 - 334 87"	0
"441. La SAT llega a esta conclusión a través de una complicada serie de proyecciones, que comprende dos cálculos distintos del flujo de caja actualizado, que pretenden demostrar que el flujo de caja neto perdido como resultado de la invasión no se recuperará antes de que termine la concesión en 2009."	0
"Esta forma en que algunas fuentes han interpretado la información ha añadido una nueva dimensión al conflicto."	0
"Aunque el régimen de sanciones podría obligar a algunos talibanes a permanecer en zonas remotas, y el Equipo observa que ésta puede ser una de las razones por las que algunos talibanes principales desean que se retiren sus nombres de la Lista, se deja de cumplir en gran medida el objetivo preventivo que persiguen dichas medidas."	1
"Reconoce que, pese a los progresos logrados en relación con la igualdad entre los géneros, es preciso intensificar las medidas, incluso sobre objetivos cuantificables y orientados hacia la acción, destinadas a garantizar los derechos de las mujeres y las niñas, y a asegurar que todas las mujeres y niñas del [país afectado] estén protegidas contra la violencia y los abusos, disfruten de la protección de la ley en condiciones de igualdad y de igual acceso a la justicia, condena enérgicamente la discriminación y la violencia contra las mujeres y las niñas, en particular la violencia que tiene como fin impedir que las niñas asistan a la escuela, destaca la importancia de que se apliquen sus resoluciones 1325 (2000), 1820 (2008), 1888 (2009), 1889 (2009) y 1960 (2010), y de que se asegure que las mujeres que huyen de la violencia en el hogar puedan encontrar refugio seguro, y hace notar los compromisos de integración contenidos en esas resoluciones;"	0
"Los hombres de esos vehículos y los soldados de la calle dispararon contra los vehículos de la policía e hirieron a un agente de la PNTL en las piernas."	1
"En vista de lo anterior, la Comisión Nacional visitó varias zonas de los estados de Darfur en las que, según algunas denuncias, tenían lugar desplazamientos forzados o actos de depuración étnica."	0
"La situación relativa a la República Democrática del Congo."	0
"Tanto en la resolución como en el Convenio se establece que, para que exista el delito de financiación del terrorismo, no es necesario que los fondos destinados a financiar el acto terrorista sean producto de un delito y tampoco que este se haya llevado a cabo, ni siquiera en grado de tentativa."	1
"La conversación duró de 5 a 10 minutos, durante la cual prosiguió el tiroteo."	1
"b) Impedir la entrada en su territorio o el tránsito por él de esas personas, entendiéndose que nada de lo dispuesto en este párrafo obligará a un Estado a negar la entrada en su territorio o exigir la salida de él a sus propios nacionales y que este párrafo no será aplicable cuando la entrada o el tránsito sean necesarios para una diligencia judicial o cuando el Comité determine, para cada caso en particular, que la entrada o el tránsito tienen justificación, incluidos los casos en que esto se relacione directamente con el apoyo a las iniciativas del Afganistán para promover la reconciliación;"	1
"Juicio iniciado el 26 de febrero de 2010"	0
"El Gobierno de la República Árabe Siria subraya que es su deber proteger a los ciudadanos, desarmar a los terroristas y hacer que los responsables rindan cuentas de sus actos. El Gobierno reitera que está haciendo todo lo posible por encontrar una solución política a la crisis que vive la República Árabe Siria, en cooperación con el Enviado Especial, Kofi Annan, para lo cual está reforzando las medidas democratizadoras que puso en marcha en marzo del año pasado en diversos sectores. Cabe citar, entre otras, el levantamiento del estado de excepción; la promulgación de leyes sobre el multipartidismo; las elecciones a los gobiernos locales y la libertad de los medios de comunicación; las medidas relativas a la situación económica de los ciudadanos; la promulgación de la nueva constitución; y otras medidas para revitalizar la participación política y fomentar el pluralismo y la democracia con miras a la aprobación de un proceso de reforma general."	0
"Esas armas son preciadas por sus dimensiones compactas y porque permiten a los terroristas atacar desde lejos y provocar daños considerables."	1
"En la región de Hiraan, en el centro de Somalia, los duros combates que tuvieron lugar los días 7 y 8 de julio entre los subclanes galje'el y jajele del clan hawiye por el control de la tierra y el agua en la parte occidental de Beletweyne provocaron 36 muertos y 70 heridos."	1
"Parece estar claro que los terroristas incluidos en la lista todavía consiguen recaudar y recibir fondos de simpatizantes procedentes de fuera de su círculo más próximo."	1
"Por desgracia, el sistema judicial del Sudán ha demostrado que no puede ni quiere investigar y enjuiciar a los presuntos autores de los crímenes de guerra y los crímenes de lesa humanidad cometidos en Darfur."	0
"Afirma su intención de considerar, cuando establezca y renueve regímenes de sanciones dirigidos específicamente a un Estado, si procede aplicar medidas selectivas y graduales contra las partes en situaciones de conflicto armado que cometan violaciones y otras formas de violencia sexual contra mujeres y niñas en situaciones de conflicto armado."	1
"Si bien un dirigente puede ser derrocado en pocos meses, el establecimiento de una sociedad democrática requiere más tiempo y mayores sacrificios."	0
"Especialmente desde que la comunidad internacional ha tomado conciencia de las repercusiones de las acciones de los Janjaweed, las respuestas del Gobierno del Sudán al uso del término parecen haber estado en función de negar la existencia de cualquier vínculo entre el Estado y los Janjaweed; asimismo, la mayoría de los funcionarios atribuyen habitualmente las acciones de los Janjaweed a \"bandoleros armados\", \"elementos incontrolados\" o incluso al Ejército de Liberación del Sudán y al Movimiento Justicia e Igualdad."	1
"3. Complicaciones en la prevención y resolución de los conflictos"	1
"Para el éxito de cualquier operación militar o paramilitar es indispensable que los mandos puedan ejercer control, evaluar la situación imperante y planificar y coordinar su acción vertical y horizontalmente a través de la estructura de mando. Dado que Al-Qaida, los talibanes y sus asociados llevan a cabo actividades de ese tipo, deben contar con los medios necesarios, incluido equipo de comunicaciones."	0
"Los desafíos socioeconómicos que enfrenta el Afganistán son importantes."	0
"Muchas de las denuncias se refieren a secuestros de mujeres."	1
"Las medidas adoptadas hasta ahora por el Gobierno para hacer frente a la crisis han sido absolutamente insuficientes e ineficaces a la vez, lo que ha contribuido al clima de impunidad casi total respecto de las transgresiones de los derechos humanos en Darfur."	1
"Para la comunidad revisten importancia fundamental las medidas de asistencia a las personas cuyos familiares murieron, el reconocimiento por las autoridades gubernamentales de su responsabilidad y la explicación de las medidas que se adoptarán para evitar la reiteración de las violaciones."	0
"Además, la Comisión halló pruebas suficientes de que las mujeres siguieron siendo víctimas de violaciones y violencia sexual durante su desplazamiento, de forma que se había perpetuado en ellas el temor a salir de los campamentos de desplazados."	1
"La primera de estas cuestiones se refiere a la forma más adecuada de que el Comité asegure que las sanciones promoverán la paz y la estabilidad en el Afganistán, y la segunda tiene que ver con las impugnaciones judiciales que se siguen presentando contra la aplicación de esas medidas por los Estados Miembros."	1
"- Ministerio del Petróleo: 19 cajas con 83.156 documentos;"	0
"Tal vez Eritrea confía en salirse de nuevo con la suya en el caso de Etiopía."	0
"El costo se define como el valor nominal más o menos la prima o el descuento sin amortizar."	0
"d) Escopetas cuya longitud de cañón sea superior a 22 pulgadas;"	0
"El grupo II, formado por ocho inspectores, salió del Hotel Canal de Bagdad a las 8.45 horas y se dirigió a la Facultad de Ciencias de la Universidad Mustansiriya."	0
