"es_en_DEEP"	"MatCoop"
"Audit certificates were to be submitted by the officials responsible for auditing the public accounts of the relevant Member States."	0
"The victim heard other young women screaming and thought they were also being raped."	0
"While the HD and DF were neutralized on the Cape Ray, a group of four OPCW inspectors were permanently on board that ship."	0
"1. Freezing of funds and financial assets"	0
"Clan elders, as well as Kenyan authorities, intervened in mid-August to help resolve the dispute."	1
"It is worth distinguishing universal criteria and individual (detailed) criteria."	0
"A workshop for Member States of the Caribbean Community will be held in July 2009 to draft responses to the three Security Council Committees dealing with counter-terrorism."	1
"This would not affect the Commission's conclusion that the Government of Sudan has not pursued a policy of genocide in Darfur."	0
"At the same time, the Secretariat continues to explore all options to increase and strengthen the current operational capacity of the Mission in the difficult environment of northern Mali."	1
"Furthermore, many modern state institutions were created during the UNTAET period, including the National Parliament, the Council of Ministers, local government structures, the police service and the defense force."	1
"The Central Bank of Malaysia issued these guidelines for the insurance sector on April 25, 2001."	0
"Report of the Secretary-General submitted pursuant to paragraph 6 of resolution 1936 (2010) (S/2010/606)"	0
"The activities carried out in these areas, complemented by the work of the working groups established to implement the agreements concluded between the Presidents of the Russian Federation and Georgia in Sochi in March 2003 (see S/2003/412, para. 5), were aimed at resolving pressing problems for the parties and thereby promoting confidence between them, with the ultimate goal of holding negotiations aimed at a comprehensive political settlement of the conflict on the basis of the document entitled \"Basic principles of the distribution of competences between Tbilisi and Sukhumi\" and its transmittal letter (see S/2002/88, para. 3)."	1
"The Team continued to actively participate in the development of measures to combat the financing of terrorism, taking part in plenary meetings of the FATF and in meetings of its regional bodies."	1
"According to data from a survey carried out in the Mornei camp in Western Darfur, medical teams treated approximately 20 victims of sexual violence between April and June 2004."	1
"1. The equipment included in article 11.A includes the following:"	0
"The Security Council calls on Member States to cooperate without delay in resolving all outstanding issues regarding the adoption of the draft comprehensive convention on international terrorism."	1
"o) Develop and implement, in close consultation with [national] authorities... a joint multi-year United Nations justice support program to develop the criminal justice chain, the police, the judiciary and the system penitentiary in conflict-affected areas and provide strategic programmatic support at the central level...;"	1
"UNOCI continued to promote gender among United Nations military forces, police and civilian personnel, including through the issuance of weekly awareness-raising messages on various gender-related issues."	1
"Since the establishment of the Counter-Terrorism Trust Fund, the Executive Directorate has been more efficient in managing voluntary contributions to support its activities."	0
"I am particularly concerned about the unstable present that could deteriorate further if the political situation does not change and if the socioeconomic situation continues without being properly addressed."	0
"2. Question of India-Pakistan (S/628)."	0
"At the multilateral level, the Republic of Guinea is a party to Convention A/P.1/7 1992, of the Organization of African Unity, on mutual assistance in judicial matters."	0
"We could continue mentioning the widespread poverty, the problems of natural resource management, the thousands of refugees and internally displaced persons, to which we must add thousands of ex-combatants waiting to be reintegrated, the weak and unreformed security sectors, massive human rights violations and many other threats that could instigate a new conflict."	0
"We note the security concerns that Israel claims compel it to continue these flights, in particular alleged violations of the arms embargo established pursuant to resolution 1701 (2006)."	0
"17. The situation in the Great Lakes region (November 1, 1996; November 9, 2009)."	0
"He also referred to dangerous outbreaks of violence in Lebanon between the Lebanese Armed Forces and Fatah al-Islam gunmen around Palestinian refugee camps."	0
"In general terms, the policy of attacking, killing or forcibly displacing members of some tribes does not necessarily imply the specific intention of annihilating all or part of a group for racial, ethnic, national or religious reasons."	0
"As highlighted in the final communiqué of the London Conference, specialized Somali courts would respond to this need."	0
"Measures have been put in place in eight States to prevent the illegal cross-border movement of people, and nine States effectively monitor and control the import and export of arms and explosives."	1
"Acts committed by some Arab groups had caused the forced displacement of those non-Arab groups."	0
"The Council of the League, meeting at the summit level,"	0
"Both defendants were transferred to The Hague."	0
"With this strategy, the United Nations system implements joint programming initiatives with good results, although there is a need to strengthen the links between the different programs and the Government's efforts to stabilize the country."	1
"Law enforcement specialists will be concentrated in a specialized and autonomous task force."	1
"At the end of the session, the Committee adopted a final document for the future in which it urged all Member States to implement a policy of zero tolerance towards terrorism and to take urgent measures to prevent and combat this problem in all its forms. and demonstrations through the full and effective application of the resolution."	1
"On 12 November, the Council unanimously adopted resolution 2184 (2014), extending for another 12 months the authorization granted to States and regional organizations to combat piracy off the coast of Somalia. The resolution underlined the need for a comprehensive response to piracy, including by addressing its underlying causes; It called for the immediate and unconditional release of all hostages held by Somali pirates; and States were urged to ensure that anti-piracy activities take into account the need to protect women and girls from exploitation."	1
"The livestock sector is the basis of subsistence for the Somali people and a source of income for local and central administrations."	0
"Under the UNIPSIL non-state actor project, the Political Parties Registration Commission continued to play a key role in implementing capacity-building programs of political parties, including their women and youth sections, to mitigate and resolve conflicts."	1
"We are extremely concerned about this course of action, as it runs the serious risk of undermining the integrity of United Nations operations."	0
"Since then it has been bombed three more times."	0
